DEPTH,GR,RHOB,Vp,Vsh,Caliper,Porosity,Resistivity,Stress,PP
273.17,92.3329,1.8744,1.578,0.646642645,9.7079,56.3718,1.0956,5017892.51,2063.0
273.3224,88.5422,1.8825,1.5665,0.580175868,9.7686,55.5061,0.9569,5042388.296,2062.0
273.4748,84.2267,1.8722,1.5592,0.504507158,9.8323,57.2531,0.9272,5017595.301,2061.0
273.6272,81.0673,1.8582,1.5568,0.449109703,9.8153,58.5606,1.0109,4982849.818,2062.0
273.7796,84.5554,1.8756,1.5531,0.51027064,9.8118,58.5404,0.876,5032309.974,2061.0
273.932,90.0679,1.878,1.547,0.60692775,9.8104,54.8724,0.8455,5041554.101,2063.0
274.0844,92.6168,1.8915,1.545,0.651620596,9.8717,58.8723,0.9154,5080620.297,2065.0
274.2368,91.9434,1.8966,1.5494,0.639813086,9.9367,56.2926,0.9404,5097151.646,2062.0
274.3892,91.7275,1.9048,1.5579,0.636027459,10.11,58.6034,0.9587,5122034.172,2064.0
274.5416,89.2959,1.8923,1.5652,0.593391371,10.1778,54.6169,0.9216,5091247.683,2066.0
274.694,91.873,1.8657,1.565,0.63857868,10.1856,55.401,0.9447,5022466.639,2063.0
274.8464,91.186,1.8709,1.5584,0.626532706,10.0701,54.316,1.0225,5039259.272,2063.0
274.9988,90.0103,1.8882,1.5542,0.605917782,9.9698,55.0423,1.0148,5088676.795,2063.0039
275.1512,88.2794,1.8845,1.5541,0.575567888,9.8525,54.0465,0.9276,5081519.877,2062.0
275.3036,87.865,1.8843,1.5559,0.568301728,9.8229,56.8954,0.9056,5083794.82,2059.0
275.456,90.1854,1.8797,1.5668,0.608988015,9.7937,57.5238,0.9236,5074191.503,2064.0
275.6084,92.1188,1.8938,1.5629,0.642888579,9.8554,54.4302,0.8799,5115082.442,2062.0
275.7608,90.2123,1.8846,1.522,0.609459685,9.8638,55.3538,0.9162,5093048.276,2064.0
275.9132,92.628,1.8841,1.485,0.651816978,9.8969,56.0076,0.9794,5094510.989,2063.0
276.0656,91.5598,1.888,1.4734,0.633086978,9.9842,55.8219,1.0275,5107876.157,2064.0
276.218,94.1854,1.8924,1.4847,0.679124694,10.1313,58.7753,0.9993,5122606.443,2063.0
276.3704,93.3403,1.8825,1.5176,0.664306567,10.0897,58.6051,1.0165,5098619.324,2061.0
276.5228,91.2148,1.8629,1.5509,0.62703769,10.0273,55.3858,1.0329,5048316.376,2061.0
276.6752,92.153,1.8377,1.5719,0.643488248,9.8957,55.8404,0.9942,4982770.947,2060.0
276.8276,93.1522,1.8266,1.5799,0.66100839,9.8007,59.7122,1.0128,4955402.283,2063.0
276.98,95.7605,1.8311,1.5791,0.706742765,9.8322,59.8646,1.0328,4970345.164,2061.0
277.1324,93.3914,1.8588,1.5765,0.665202563,10.0254,59.4482,1.0174,5048310.31,2063.0
277.2848,86.2256,1.8845,1.5793,0.53955621,10.0544,57.536,0.9951,5120923.415,2068.0
277.4372,88.087,1.8969,1.5901,0.572194314,10.0395,53.9404,0.986,5157452.122,2063.0
277.5896,90.6043,1.9071,1.5992,0.616333079,9.902,53.3609,1.0002,5188033.036,2064.0
277.742,98.3325,1.9405,1.6015,0.751840649,9.9509,53.2794,1.0266,5281791.84,2063.0
277.8944,99.7482,1.9846,1.6006,0.776663774,10.0653,50.0079,1.0075,5404790.417,2063.0
278.0468,101.2523,2.0088,1.6006,0.803036918,10.2558,51.2628,1.001,5473696.036,2064.0
278.1992,99.2628,1.9882,1.6023,0.768152688,10.107,50.5301,1.0225,5420533.365,2063.0
278.3516,98.3289,1.9575,1.6024,0.751777526,9.8998,52.5632,1.0038,5339757.919,2068.0
